SKU;Fecha;Cantidad;Tiempo de Producción;Bodega
L07;1/01/2010;178;19;All Out
L06;1/01/2010;438;9;All Out
L05;1/01/2010;133;6;All Out
L04;1/01/2010;493;17;All Out
L03;1/01/2010;428;4;All Out
L02;1/01/2010;182;16;All Out
L01;1/01/2010;442;14;All Out
CC02;1/01/2010;265;3;All Out
CC01;1/01/2010;248;7;All Out
CB01;1/01/2010;411;17;All Out
C14;1/01/2010;170;17;All Out
C13;1/01/2010;161;11;All Out
C12;1/01/2010;286;4;All Out
C11;1/01/2010;347;10;All Out
C10;1/01/2010;414;13;All Out
B06;1/01/2010;135;15;All Out
B05;1/01/2010;341;14;All Out
B04;1/01/2010;367;6;All Out
B03;1/01/2010;152;4;All Out
B02;1/01/2010;356;3;All Out
B01;1/01/2010;117;17;All Out
L07;1/02/2010;163;17;All Out
L06;1/02/2010;240;14;All Out
L05;1/02/2010;463;4;All Out
L04;1/02/2010;179;3;All Out
L03;1/02/2010;327;14;All Out
L02;1/02/2010;420;2;All Out
L01;1/02/2010;209;12;All Out
CC02;1/02/2010;234;7;All Out
CC01;1/02/2010;203;15;All Out
CB01;1/02/2010;251;7;All Out
C14;1/02/2010;200;2;All Out
C13;1/02/2010;164;16;All Out
C12;1/02/2010;141;4;All Out
C11;1/02/2010;324;5;All Out
C10;1/02/2010;335;11;All Out
B06;1/02/2010;388;8;All Out
B05;1/02/2010;445;6;All Out
B04;1/02/2010;371;11;All Out
B03;1/02/2010;110;5;All Out
B02;1/02/2010;272;7;All Out
B01;1/02/2010;297;11;All Out
L07;1/03/2010;413;8;All Out
L06;1/03/2010;179;5;All Out
L05;1/03/2010;324;3;All Out
L04;1/03/2010;404;4;All Out
L03;1/03/2010;288;19;All Out
L02;1/03/2010;410;11;All Out
L01;1/03/2010;160;8;All Out
CC02;1/03/2010;220;9;All Out
CC01;1/03/2010;191;19;All Out
CB01;1/03/2010;352;14;All Out
C14;1/03/2010;484;7;All Out
C13;1/03/2010;379;12;All Out
C12;1/03/2010;488;19;All Out
C11;1/03/2010;310;19;All Out
C10;1/03/2010;499;7;All Out
B06;1/03/2010;269;17;All Out
B05;1/03/2010;107;12;All Out
B04;1/03/2010;305;13;All Out
B03;1/03/2010;264;6;All Out
B02;1/03/2010;102;17;All Out
B01;1/03/2010;221;14;All Out
L07;1/04/2010;147;19;All Out
L06;1/04/2010;305;9;All Out
L05;1/04/2010;241;19;All Out
L04;1/04/2010;389;16;All Out
L03;1/04/2010;114;12;All Out
L02;1/04/2010;400;11;All Out
L01;1/04/2010;177;2;All Out
CC02;1/04/2010;320;3;All Out
CC01;1/04/2010;432;17;All Out
CB01;1/04/2010;172;7;All Out
C14;1/04/2010;303;7;All Out
C13;1/04/2010;377;15;All Out
C12;1/04/2010;308;6;All Out
C11;1/04/2010;381;18;All Out
C10;1/04/2010;107;11;All Out
B06;1/04/2010;315;13;All Out
B05;1/04/2010;366;8;All Out
B04;1/04/2010;144;11;All Out
B03;1/04/2010;459;16;All Out
B02;1/04/2010;172;10;All Out
B01;1/04/2010;258;9;All Out
L07;1/05/2010;196;3;All Out
L06;1/05/2010;139;16;All Out
L05;1/05/2010;298;7;All Out
L04;1/05/2010;326;10;All Out
L03;1/05/2010;163;6;All Out
L02;1/05/2010;412;10;All Out
L01;1/05/2010;383;17;All Out
CC02;1/05/2010;288;14;All Out
CC01;1/05/2010;480;11;All Out
CB01;1/05/2010;237;8;All Out
C14;1/05/2010;461;4;All Out
C13;1/05/2010;189;20;All Out
C12;1/05/2010;471;10;All Out
C11;1/05/2010;469;2;All Out
C10;1/05/2010;345;13;All Out
B06;1/05/2010;411;11;All Out
B05;1/05/2010;370;3;All Out
B04;1/05/2010;468;3;All Out
B03;1/05/2010;345;8;All Out
