SKU;Fecha;Cantidad;Tiempo de Producción;Bodega
L07;1/01/2011;168;11;All Out
L06;1/01/2011;164;10;All Out
L05;1/01/2011;398;11;All Out
L04;1/01/2011;332;11;All Out
L03;1/01/2011;133;5;All Out
L02;1/01/2011;133;7;All Out
L01;1/01/2011;135;3;All Out
CC02;1/01/2011;354;5;All Out
CC01;1/01/2011;389;12;All Out
CB01;1/01/2011;291;6;All Out
C14;1/01/2011;257;3;All Out
C13;1/01/2011;315;9;All Out
C12;1/01/2011;227;20;All Out
C11;1/01/2011;213;8;All Out
C10;1/01/2011;441;2;All Out
B06;1/01/2011;400;18;All Out
B05;1/01/2011;253;19;All Out
B04;1/01/2011;197;9;All Out
B03;1/01/2011;455;13;All Out
B02;1/01/2011;287;3;All Out
B01;1/01/2011;467;18;All Out
L07;1/02/2011;298;10;All Out
L06;1/02/2011;429;12;All Out
L05;1/02/2011;152;18;All Out
L04;1/02/2011;291;13;All Out
L03;1/02/2011;161;9;All Out
L02;1/02/2011;351;17;All Out
L01;1/02/2011;398;9;All Out
CC02;1/02/2011;457;16;All Out
CC01;1/02/2011;333;10;All Out
CB01;1/02/2011;357;20;All Out
C14;1/02/2011;382;20;All Out
C13;1/02/2011;465;12;All Out
C12;1/02/2011;263;4;All Out
C11;1/02/2011;132;12;All Out
C10;1/02/2011;224;15;All Out
B06;1/02/2011;245;6;All Out
B05;1/02/2011;465;10;All Out
B04;1/02/2011;387;9;All Out
B03;1/02/2011;404;13;All Out
B02;1/02/2011;378;19;All Out
B01;1/02/2011;376;8;All Out
L07;1/03/2011;392;5;All Out
L06;1/03/2011;465;15;All Out
L05;1/03/2011;102;15;All Out
L04;1/03/2011;300;12;All Out
L03;1/03/2011;139;16;All Out
L02;1/03/2011;281;15;All Out
L01;1/03/2011;209;11;All Out
CC02;1/03/2011;219;11;All Out
CC01;1/03/2011;253;10;All Out
CB01;1/03/2011;452;15;All Out
C14;1/03/2011;152;11;All Out
C13;1/03/2011;387;11;All Out
C12;1/03/2011;245;9;All Out
C11;1/03/2011;157;4;All Out
C10;1/03/2011;342;10;All Out
B06;1/03/2011;313;18;All Out
B05;1/03/2011;376;15;All Out
B04;1/03/2011;293;9;All Out
B03;1/03/2011;275;2;All Out
B02;1/03/2011;394;6;All Out
B01;1/03/2011;127;18;All Out
L07;1/04/2011;181;11;All Out
L06;1/04/2011;174;17;All Out
L05;1/04/2011;398;15;All Out
L04;1/04/2011;245;12;All Out
L03;1/04/2011;310;5;All Out
L02;1/04/2011;270;13;All Out
L01;1/04/2011;133;2;All Out
CC02;1/04/2011;431;17;All Out
CC01;1/04/2011;154;13;All Out
CB01;1/04/2011;103;19;All Out
C14;1/04/2011;481;19;All Out
C13;1/04/2011;183;6;All Out
C12;1/04/2011;277;4;All Out
C11;1/04/2011;120;19;All Out
C10;1/04/2011;105;9;All Out
B06;1/04/2011;499;2;All Out
B05;1/04/2011;238;15;All Out
B04;1/04/2011;359;6;All Out
B03;1/04/2011;470;20;All Out
B02;1/04/2011;209;12;All Out
B01;1/04/2011;215;7;All Out
L07;1/05/2011;500;15;All Out
L06;1/05/2011;334;19;All Out
L05;1/05/2011;369;11;All Out
L04;1/05/2011;463;9;All Out
L03;1/05/2011;366;3;All Out
L02;1/05/2011;135;7;All Out
L01;1/05/2011;349;17;All Out
CC02;1/05/2011;403;6;All Out
CC01;1/05/2011;145;7;All Out
CB01;1/05/2011;325;11;All Out
C14;1/05/2011;256;5;All Out
C13;1/05/2011;186;15;All Out
C12;1/05/2011;309;15;All Out
C11;1/05/2011;388;18;All Out
C10;1/05/2011;402;3;All Out
B06;1/05/2011;209;10;All Out
B05;1/05/2011;122;5;All Out
B04;1/05/2011;399;11;All Out
B03;1/05/2011;140;10;All Out
B02;1/05/2011;122;16;All Out
B01;1/05/2011;151;12;All Out
L07;1/06/2011;499;14;All Out
L06;1/06/2011;489;15;All Out
L05;1/06/2011;282;6;All Out
L04;1/06/2011;490;3;All Out
L03;1/06/2011;243;11;All Out
L02;1/06/2011;486;8;All Out
L01;1/06/2011;357;14;All Out
CC02;1/06/2011;248;12;All Out
CC01;1/06/2011;251;2;All Out
CB01;1/06/2011;148;10;All Out
C14;1/06/2011;370;4;All Out
C13;1/06/2011;372;12;All Out
C12;1/06/2011;408;18;All Out
C11;1/06/2011;150;18;All Out
C10;1/06/2011;109;7;All Out
B06;1/06/2011;479;15;All Out
B05;1/06/2011;242;18;All Out
B04;1/06/2011;240;17;All Out
B03;1/06/2011;193;17;All Out
B02;1/06/2011;446;5;All Out
B01;1/06/2011;267;9;All Out
L07;1/07/2011;363;8;All Out
L06;1/07/2011;329;9;All Out
L05;1/07/2011;377;6;All Out
L04;1/07/2011;406;14;All Out
L03;1/07/2011;144;8;All Out
L02;1/07/2011;167;2;All Out
L01;1/07/2011;396;12;All Out
CC02;1/07/2011;371;17;All Out
CC01;1/07/2011;109;15;All Out
CB01;1/07/2011;459;10;All Out
C14;1/07/2011;309;10;All Out
C13;1/07/2011;362;2;All Out
C12;1/07/2011;170;10;All Out
C11;1/07/2011;419;6;All Out
C10;1/07/2011;149;18;All Out
B06;1/07/2011;346;18;All Out
B05;1/07/2011;333;5;All Out
B04;1/07/2011;299;2;All Out
B03;1/07/2011;121;9;All Out
B02;1/07/2011;404;3;All Out
B01;1/07/2011;478;17;All Out
L07;1/08/2011;138;19;All Out
L06;1/08/2011;323;19;All Out
L05;1/08/2011;219;10;All Out
L04;1/08/2011;165;12;All Out
L03;1/08/2011;314;9;All Out
L02;1/08/2011;478;2;All Out
L01;1/08/2011;472;12;All Out
CC02;1/08/2011;414;7;All Out
CC01;1/08/2011;474;7;All Out
CB01;1/08/2011;144;6;All Out
C14;1/08/2011;470;15;All Out
C13;1/08/2011;193;20;All Out
C12;1/08/2011;481;5;All Out
C11;1/08/2011;442;5;All Out
C10;1/08/2011;375;14;All Out
B06;1/08/2011;363;8;All Out
B05;1/08/2011;177;2;All Out
B04;1/08/2011;269;16;All Out
B03;1/08/2011;249;16;All Out
B02;1/08/2011;204;3;All Out
B01;1/08/2011;199;10;All Out
L07;1/09/2011;100;6;All Out
L06;1/09/2011;247;18;All Out
L05;1/09/2011;395;13;All Out
L04;1/09/2011;386;3;All Out
L03;1/09/2011;392;9;All Out
L02;1/09/2011;208;20;All Out
L01;1/09/2011;271;15;All Out
CC02;1/09/2011;188;18;All Out
CC01;1/09/2011;342;9;All Out
CB01;1/09/2011;269;10;All Out
C14;1/09/2011;167;19;All Out
C13;1/09/2011;245;4;All Out
C12;1/09/2011;419;16;All Out
C11;1/09/2011;215;11;All Out
C10;1/09/2011;322;16;All Out
B06;1/09/2011;137;13;All Out
B05;1/09/2011;329;12;All Out
B04;1/09/2011;256;4;All Out
B03;1/09/2011;198;19;All Out
B02;1/09/2011;447;3;All Out
B01;1/09/2011;247;19;All Out
L07;1/10/2011;264;3;All Out
L06;1/10/2011;167;6;All Out
L05;1/10/2011;413;10;All Out
L04;1/10/2011;384;19;All Out
L03;1/10/2011;116;18;All Out
L02;1/10/2011;405;18;All Out
L01;1/10/2011;172;16;All Out
CC02;1/10/2011;445;4;All Out
CC01;1/10/2011;452;9;All Out
CB01;1/10/2011;212;13;All Out
C14;1/10/2011;424;9;All Out
C13;1/10/2011;372;14;All Out
C12;1/10/2011;240;8;All Out
C11;1/10/2011;145;20;All Out
C10;1/10/2011;248;2;All Out
B06;1/10/2011;500;11;All Out
B05;1/10/2011;376;15;All Out
B04;1/10/2011;286;17;All Out
B03;1/10/2011;402;4;All Out
B02;1/10/2011;294;6;All Out
B01;1/10/2011;229;20;All Out
L07;1/11/2011;268;4;All Out
L06;1/11/2011;346;6;All Out
L05;1/11/2011;458;17;All Out
L04;1/11/2011;356;20;All Out
L03;1/11/2011;204;10;All Out
L02;1/11/2011;132;20;All Out
L01;1/11/2011;363;8;All Out
CC02;1/11/2011;116;7;All Out
CC01;1/11/2011;315;17;All Out
CB01;1/11/2011;237;16;All Out
C14;1/11/2011;476;18;All Out
C13;1/11/2011;488;19;All Out
C12;1/11/2011;230;11;All Out
C11;1/11/2011;148;3;All Out
C10;1/11/2011;145;3;All Out
B06;1/11/2011;120;13;All Out
B05;1/11/2011;212;3;All Out
B04;1/11/2011;257;16;All Out
B03;1/11/2011;222;6;All Out
B02;1/11/2011;217;18;All Out
B01;1/11/2011;397;10;All Out
L07;1/12/2011;108;14;All Out
L06;1/12/2011;319;4;All Out
L05;1/12/2011;195;19;All Out
L04;1/12/2011;319;16;All Out
L03;1/12/2011;280;14;All Out
L02;1/12/2011;136;18;All Out
L01;1/12/2011;298;3;All Out
CC02;1/12/2011;491;6;All Out
CC01;1/12/2011;162;19;All Out
CB01;1/12/2011;449;14;All Out
C14;1/12/2011;262;6;All Out
C13;1/12/2011;237;19;All Out
C12;1/12/2011;122;8;All Out
C11;1/12/2011;114;12;All Out
C10;1/12/2011;163;19;All Out
B06;1/12/2011;383;19;All Out
B05;1/12/2011;114;3;All Out
B04;1/12/2011;481;7;All Out
B03;1/12/2011;226;4;All Out
B02;1/12/2011;171;16;All Out
B01;1/12/2011;402;7;All Out
