SKU;Fecha;Cantidad;Tiempo de Producción;Bodega
L07;1/01/2007;486;17;All Out
L06;1/01/2007;331;17;All Out
L05;1/01/2007;104;19;All Out
L04;1/01/2007;421;8;All Out
L03;1/01/2007;376;15;All Out
L02;1/01/2007;241;10;All Out
L01;1/01/2007;289;2;All Out
CC02;1/01/2007;295;4;All Out
CC01;1/01/2007;428;16;All Out
CB01;1/01/2007;193;16;All Out
C14;1/01/2007;351;15;All Out
C13;1/01/2007;292;19;All Out
C12;1/01/2007;301;9;All Out
C11;1/01/2007;101;4;All Out
C10;1/01/2007;309;16;All Out
B06;1/01/2007;363;10;All Out
B05;1/01/2007;439;6;All Out
B04;1/01/2007;209;8;All Out
B03;1/01/2007;488;6;All Out
B02;1/01/2007;335;9;All Out
B01;1/01/2007;390;12;All Out
L07;1/02/2007;229;12;All Out
L06;1/02/2007;221;15;All Out
L05;1/02/2007;468;13;All Out
L04;1/02/2007;311;5;All Out
L03;1/02/2007;206;6;All Out
L02;1/02/2007;223;17;All Out
L01;1/02/2007;411;7;All Out
CC02;1/02/2007;126;7;All Out
CC01;1/02/2007;165;3;All Out
CB01;1/02/2007;456;13;All Out
C14;1/02/2007;103;3;All Out
C13;1/02/2007;127;3;All Out
C12;1/02/2007;181;10;All Out
C11;1/02/2007;280;14;All Out
C10;1/02/2007;340;6;All Out
B06;1/02/2007;273;3;All Out
B05;1/02/2007;364;14;All Out
B04;1/02/2007;206;8;All Out
B03;1/02/2007;493;16;All Out
B02;1/02/2007;491;14;All Out
B01;1/02/2007;351;5;All Out
L07;1/03/2007;317;13;All Out
L06;1/03/2007;398;6;All Out
L05;1/03/2007;439;20;All Out
L04;1/03/2007;398;15;All Out
L03;1/03/2007;404;15;All Out
L02;1/03/2007;241;2;All Out
L01;1/03/2007;241;8;All Out
CC02;1/03/2007;128;20;All Out
CC01;1/03/2007;300;14;All Out
CB01;1/03/2007;352;19;All Out
C14;1/03/2007;466;20;All Out
C13;1/03/2007;112;18;All Out
C12;1/03/2007;480;4;All Out
C11;1/03/2007;322;8;All Out
C10;1/03/2007;447;9;All Out
B06;1/03/2007;193;14;All Out
B05;1/03/2007;276;16;All Out
B04;1/03/2007;170;8;All Out
B03;1/03/2007;216;19;All Out
B02;1/03/2007;229;9;All Out
B01;1/03/2007;392;19;All Out
L07;1/04/2007;126;17;All Out
L06;1/04/2007;372;6;All Out
L05;1/04/2007;226;9;All Out
L04;1/04/2007;267;20;All Out
L03;1/04/2007;462;6;All Out
L02;1/04/2007;202;13;All Out
L01;1/04/2007;181;4;All Out
CC02;1/04/2007;445;2;All Out
CC01;1/04/2007;173;6;All Out
CB01;1/04/2007;493;15;All Out
C14;1/04/2007;470;5;All Out
C13;1/04/2007;157;6;All Out
C12;1/04/2007;210;18;All Out
C11;1/04/2007;362;8;All Out
C10;1/04/2007;227;11;All Out
B06;1/04/2007;145;16;All Out
B05;1/04/2007;328;20;All Out
B04;1/04/2007;410;17;All Out
B03;1/04/2007;120;10;All Out
B02;1/04/2007;440;8;All Out
B01;1/04/2007;440;7;All Out
L07;1/05/2007;477;20;All Out
L06;1/05/2007;182;4;All Out
L05;1/05/2007;281;10;All Out
L04;1/05/2007;329;8;All Out
L03;1/05/2007;356;16;All Out
L02;1/05/2007;126;5;All Out
L01;1/05/2007;486;18;All Out
CC02;1/05/2007;427;11;All Out
CC01;1/05/2007;205;4;All Out
CB01;1/05/2007;368;15;All Out
C14;1/05/2007;242;12;All Out
C13;1/05/2007;379;6;All Out
C12;1/05/2007;157;6;All Out
C11;1/05/2007;446;4;All Out
C10;1/05/2007;192;7;All Out
B06;1/05/2007;338;10;All Out
B05;1/05/2007;164;6;All Out
B04;1/05/2007;139;7;All Out
B03;1/05/2007;207;6;All Out
B02;1/05/2007;435;16;All Out
B01;1/05/2007;265;11;All Out
L07;1/06/2007;283;18;All Out
L06;1/06/2007;279;14;All Out
L05;1/06/2007;199;10;All Out
L04;1/06/2007;152;2;All Out
L03;1/06/2007;288;7;All Out
L02;1/06/2007;272;7;All Out
L01;1/06/2007;444;7;All Out
CC02;1/06/2007;383;2;All Out
CC01;1/06/2007;154;11;All Out
CB01;1/06/2007;434;8;All Out
C14;1/06/2007;350;11;All Out
C13;1/06/2007;371;14;All Out
C12;1/06/2007;151;10;All Out
C11;1/06/2007;403;13;All Out
C10;1/06/2007;220;12;All Out
B06;1/06/2007;294;7;All Out
B05;1/06/2007;132;19;All Out
B04;1/06/2007;205;18;All Out
B03;1/06/2007;138;4;All Out
B02;1/06/2007;134;10;All Out
B01;1/06/2007;354;15;All Out
L07;1/07/2007;442;19;All Out
L06;1/07/2007;336;2;All Out
L05;1/07/2007;251;4;All Out
L04;1/07/2007;420;12;All Out
L03;1/07/2007;239;20;All Out
L02;1/07/2007;218;20;All Out
L01;1/07/2007;128;13;All Out
CC02;1/07/2007;487;15;All Out
CC01;1/07/2007;344;10;All Out
CB01;1/07/2007;314;17;All Out
C14;1/07/2007;146;13;All Out
C13;1/07/2007;215;6;All Out
C12;1/07/2007;480;12;All Out
C11;1/07/2007;136;5;All Out
C10;1/07/2007;459;2;All Out
B06;1/07/2007;135;20;All Out
B05;1/07/2007;376;13;All Out
B04;1/07/2007;315;7;All Out
B03;1/07/2007;490;6;All Out
B02;1/07/2007;404;8;All Out
B01;1/07/2007;500;2;All Out
L07;1/08/2007;325;11;All Out
L06;1/08/2007;456;19;All Out
L05;1/08/2007;150;6;All Out
L04;1/08/2007;387;19;All Out
L03;1/08/2007;151;12;All Out
L02;1/08/2007;217;6;All Out
L01;1/08/2007;392;18;All Out
CC02;1/08/2007;270;12;All Out
CC01;1/08/2007;417;19;All Out
CB01;1/08/2007;435;12;All Out
C14;1/08/2007;474;3;All Out
C13;1/08/2007;205;4;All Out
C12;1/08/2007;343;18;All Out
C11;1/08/2007;453;12;All Out
C10;1/08/2007;242;6;All Out
B06;1/08/2007;362;3;All Out
B05;1/08/2007;266;17;All Out
B04;1/08/2007;347;8;All Out
B03;1/08/2007;347;8;All Out
B02;1/08/2007;258;5;All Out
B01;1/08/2007;178;11;All Out
L07;1/09/2007;454;12;All Out
L06;1/09/2007;247;7;All Out
L05;1/09/2007;338;4;All Out
L04;1/09/2007;460;16;All Out
L03;1/09/2007;201;16;All Out
L02;1/09/2007;234;11;All Out
L01;1/09/2007;478;7;All Out
CC02;1/09/2007;103;4;All Out
CC01;1/09/2007;381;9;All Out
CB01;1/09/2007;200;15;All Out
C14;1/09/2007;470;10;All Out
C13;1/09/2007;143;7;All Out
C12;1/09/2007;217;12;All Out
C11;1/09/2007;293;3;All Out
C10;1/09/2007;363;5;All Out
B06;1/09/2007;246;13;All Out
B05;1/09/2007;289;13;All Out
B04;1/09/2007;129;9;All Out
B03;1/09/2007;109;14;All Out
B02;1/09/2007;141;8;All Out
B01;1/09/2007;120;17;All Out
L07;1/10/2007;262;7;All Out
L06;1/10/2007;148;2;All Out
L05;1/10/2007;113;6;All Out
L04;1/10/2007;205;4;All Out
L03;1/10/2007;327;3;All Out
L02;1/10/2007;207;5;All Out
