SKU;Fecha;Cantidad;Tiempo de Producción;Bodega
L07;1/01/2012;247;2;All Out
L06;1/01/2012;370;11;All Out
L05;1/01/2012;316;17;All Out
L04;1/01/2012;447;19;All Out
L03;1/01/2012;468;7;All Out
L02;1/01/2012;367;11;All Out
L01;1/01/2012;395;19;All Out
CC02;1/01/2012;145;7;All Out
CC01;1/01/2012;454;13;All Out
CB01;1/01/2012;290;14;All Out
C14;1/01/2012;481;19;All Out
C13;1/01/2012;112;19;All Out
C12;1/01/2012;478;13;All Out
C11;1/01/2012;321;13;All Out
C10;1/01/2012;211;8;All Out
B06;1/01/2012;179;8;All Out
B05;1/01/2012;479;16;All Out
B04;1/01/2012;340;19;All Out
B03;1/01/2012;414;12;All Out
B02;1/01/2012;453;10;All Out
B01;1/01/2012;497;5;All Out
L07;1/02/2012;110;10;All Out
L06;1/02/2012;229;7;All Out
L05;1/02/2012;411;12;All Out
L04;1/02/2012;316;8;All Out
L03;1/02/2012;444;10;All Out
L02;1/02/2012;224;2;All Out
L01;1/02/2012;381;6;All Out
CC02;1/02/2012;147;2;All Out
CC01;1/02/2012;426;5;All Out
CB01;1/02/2012;332;20;All Out
C14;1/02/2012;202;20;All Out
C13;1/02/2012;484;6;All Out
C12;1/02/2012;349;13;All Out
C11;1/02/2012;331;20;All Out
C10;1/02/2012;215;12;All Out
B06;1/02/2012;104;14;All Out
B05;1/02/2012;467;10;All Out
B04;1/02/2012;146;4;All Out
B03;1/02/2012;167;14;All Out
B02;1/02/2012;392;18;All Out
B01;1/02/2012;454;16;All Out
L07;1/03/2012;176;6;All Out
L06;1/03/2012;427;16;All Out
L05;1/03/2012;356;3;All Out
L04;1/03/2012;117;11;All Out
L03;1/03/2012;447;10;All Out
L02;1/03/2012;107;6;All Out
L01;1/03/2012;376;10;All Out
CC02;1/03/2012;249;14;All Out
CC01;1/03/2012;333;9;All Out
CB01;1/03/2012;229;10;All Out
C14;1/03/2012;162;16;All Out
C13;1/03/2012;347;5;All Out
C12;1/03/2012;165;11;All Out
C11;1/03/2012;172;18;All Out
C10;1/03/2012;114;13;All Out
B06;1/03/2012;252;17;All Out
