SKU;Fecha;Cantidad;Tiempo de Producción;Bodega
L07;1/01/2013;356;17;All Out
L06;1/01/2013;384;11;All Out
L05;1/01/2013;109;12;All Out
L04;1/01/2013;209;20;All Out
L03;1/01/2013;274;8;All Out
L02;1/01/2013;103;10;All Out
L01;1/01/2013;133;18;All Out
CC02;1/01/2013;337;9;All Out
CC01;1/01/2013;305;17;All Out
CB01;1/01/2013;345;8;All Out
C14;1/01/2013;101;6;All Out
C13;1/01/2013;172;18;All Out
C12;1/01/2013;216;4;All Out
C11;1/01/2013;101;9;All Out
C10;1/01/2013;250;17;All Out
B06;1/01/2013;203;5;All Out
B05;1/01/2013;479;7;All Out
B04;1/01/2013;285;9;All Out
B03;1/01/2013;320;16;All Out
B02;1/01/2013;213;2;All Out
B01;1/01/2013;131;9;All Out
L07;1/02/2013;496;8;All Out
L06;1/02/2013;294;13;All Out
L05;1/02/2013;490;14;All Out
L04;1/02/2013;198;10;All Out
L03;1/02/2013;383;20;All Out
L02;1/02/2013;267;5;All Out
L01;1/02/2013;170;4;All Out
CC02;1/02/2013;488;11;All Out
CC01;1/02/2013;249;10;All Out
CB01;1/02/2013;165;10;All Out
C14;1/02/2013;227;14;All Out
C13;1/02/2013;210;2;All Out
C12;1/02/2013;213;5;All Out
C11;1/02/2013;391;2;All Out
C10;1/02/2013;135;12;All Out
B06;1/02/2013;125;18;All Out
B05;1/02/2013;176;11;All Out
B04;1/02/2013;110;20;All Out
B03;1/02/2013;422;7;All Out
B02;1/02/2013;387;2;All Out
B01;1/02/2013;326;5;All Out
L07;1/03/2013;444;6;All Out
L06;1/03/2013;325;14;All Out
L05;1/03/2013;138;13;All Out
L04;1/03/2013;477;3;All Out
L03;1/03/2013;257;16;All Out
L02;1/03/2013;139;3;All Out
L01;1/03/2013;127;6;All Out
CC02;1/03/2013;249;9;All Out
CC01;1/03/2013;311;5;All Out
CB01;1/03/2013;164;19;All Out
C14;1/03/2013;322;7;All Out
C13;1/03/2013;307;3;All Out
C12;1/03/2013;259;14;All Out
C11;1/03/2013;417;10;All Out
C10;1/03/2013;489;18;All Out
B06;1/03/2013;467;4;All Out
B05;1/03/2013;163;19;All Out
B04;1/03/2013;184;8;All Out
B03;1/03/2013;300;16;All Out
B02;1/03/2013;223;2;All Out
B01;1/03/2013;443;13;All Out
L07;1/04/2013;105;5;All Out
L06;1/04/2013;404;18;All Out
L05;1/04/2013;417;14;All Out
L04;1/04/2013;417;12;All Out
L03;1/04/2013;362;4;All Out
L02;1/04/2013;138;18;All Out
L01;1/04/2013;381;8;All Out
CC02;1/04/2013;230;5;All Out
CC01;1/04/2013;131;16;All Out
CB01;1/04/2013;400;17;All Out
C14;1/04/2013;484;2;All Out
C13;1/04/2013;229;9;All Out
C12;1/04/2013;421;14;All Out
C11;1/04/2013;220;11;All Out
C10;1/04/2013;296;12;All Out
B06;1/04/2013;270;12;All Out
B05;1/04/2013;171;2;All Out
B04;1/04/2013;239;18;All Out
B03;1/04/2013;348;8;All Out
B02;1/04/2013;148;12;All Out
B01;1/04/2013;140;18;All Out
L07;1/05/2013;289;12;All Out
L06;1/05/2013;411;8;All Out
L05;1/05/2013;362;10;All Out
L04;1/05/2013;322;7;All Out
L03;1/05/2013;134;15;All Out
L02;1/05/2013;369;18;All Out
L01;1/05/2013;294;14;All Out
CC02;1/05/2013;443;14;All Out
CC01;1/05/2013;192;16;All Out
CB01;1/05/2013;351;16;All Out
C14;1/05/2013;279;13;All Out
C13;1/05/2013;497;11;All Out
C12;1/05/2013;436;15;All Out
C11;1/05/2013;262;11;All Out
C10;1/05/2013;267;6;All Out
B06;1/05/2013;187;3;All Out
B05;1/05/2013;274;15;All Out
B04;1/05/2013;147;4;All Out
B03;1/05/2013;251;14;All Out
B02;1/05/2013;381;2;All Out
B01;1/05/2013;143;11;All Out
L07;1/06/2013;335;16;All Out
L06;1/06/2013;365;3;All Out
L05;1/06/2013;282;7;All Out
L04;1/06/2013;342;3;All Out
L03;1/06/2013;351;2;All Out
L02;1/06/2013;120;15;All Out
L01;1/06/2013;261;19;All Out
CC02;1/06/2013;414;11;All Out
