SKU;Fecha;Cantidad;Tiempo de Producción;Bodega
L07;1/01/2008;368;12;All Out
L06;1/01/2008;392;13;All Out
L05;1/01/2008;151;12;All Out
L04;1/01/2008;254;13;All Out
L03;1/01/2008;455;8;All Out
L02;1/01/2008;373;3;All Out
L01;1/01/2008;223;6;All Out
CC02;1/01/2008;204;18;All Out
CC01;1/01/2008;106;13;All Out
CB01;1/01/2008;260;20;All Out
C14;1/01/2008;486;18;All Out
C13;1/01/2008;100;10;All Out
C12;1/01/2008;416;5;All Out
C11;1/01/2008;435;9;All Out
C10;1/01/2008;449;9;All Out
B06;1/01/2008;141;17;All Out
B05;1/01/2008;400;9;All Out
B04;1/01/2008;334;3;All Out
B03;1/01/2008;281;5;All Out
B02;1/01/2008;101;14;All Out
B01;1/01/2008;459;9;All Out
L07;1/02/2008;374;14;All Out
L06;1/02/2008;408;20;All Out
L05;1/02/2008;311;18;All Out
L04;1/02/2008;459;10;All Out
L03;1/02/2008;483;6;All Out
L02;1/02/2008;338;14;All Out
L01;1/02/2008;434;5;All Out
CC02;1/02/2008;352;14;All Out
CC01;1/02/2008;161;20;All Out
CB01;1/02/2008;286;13;All Out
C14;1/02/2008;362;9;All Out
C13;1/02/2008;229;15;All Out
C12;1/02/2008;394;7;All Out
C11;1/02/2008;280;11;All Out
C10;1/02/2008;482;16;All Out
B06;1/02/2008;260;2;All Out
B05;1/02/2008;282;5;All Out
B04;1/02/2008;343;19;All Out
B03;1/02/2008;428;10;All Out
B02;1/02/2008;436;20;All Out
B01;1/02/2008;358;5;All Out
L07;1/03/2008;271;16;All Out
L06;1/03/2008;109;2;All Out
L05;1/03/2008;152;2;All Out
L04;1/03/2008;400;6;All Out
L03;1/03/2008;485;11;All Out
L02;1/03/2008;118;9;All Out
L01;1/03/2008;124;3;All Out
CC02;1/03/2008;125;18;All Out
CC01;1/03/2008;200;20;All Out
CB01;1/03/2008;381;18;All Out
C14;1/03/2008;374;18;All Out
C13;1/03/2008;116;5;All Out
C12;1/03/2008;475;12;All Out
C11;1/03/2008;246;14;All Out
C10;1/03/2008;174;2;All Out
B06;1/03/2008;109;2;All Out
B05;1/03/2008;393;17;All Out
B04;1/03/2008;460;13;All Out
B03;1/03/2008;488;7;All Out
B02;1/03/2008;188;6;All Out
B01;1/03/2008;179;16;All Out
L07;1/04/2008;214;20;All Out
L06;1/04/2008;187;16;All Out
L05;1/04/2008;274;2;All Out
L04;1/04/2008;396;11;All Out
L03;1/04/2008;291;5;All Out
L02;1/04/2008;324;19;All Out
L01;1/04/2008;107;17;All Out
CC02;1/04/2008;381;19;All Out
CC01;1/04/2008;409;4;All Out
CB01;1/04/2008;347;17;All Out
C14;1/04/2008;163;19;All Out
C13;1/04/2008;267;3;All Out
C12;1/04/2008;240;16;All Out
C11;1/04/2008;135;8;All Out
C10;1/04/2008;457;2;All Out
B06;1/04/2008;102;10;All Out
B05;1/04/2008;283;17;All Out
B04;1/04/2008;438;10;All Out
B03;1/04/2008;373;12;All Out
B02;1/04/2008;127;16;All Out
B01;1/04/2008;204;16;All Out
L07;1/05/2008;341;11;All Out
L06;1/05/2008;368;17;All Out
L05;1/05/2008;258;16;All Out
L04;1/05/2008;221;4;All Out
L03;1/05/2008;309;9;All Out
L02;1/05/2008;422;10;All Out
L01;1/05/2008;233;16;All Out
CC02;1/05/2008;422;3;All Out
CC01;1/05/2008;388;9;All Out
CB01;1/05/2008;137;18;All Out
C14;1/05/2008;437;8;All Out
C13;1/05/2008;316;19;All Out
C12;1/05/2008;145;5;All Out
C11;1/05/2008;325;19;All Out
C10;1/05/2008;147;12;All Out
B06;1/05/2008;496;2;All Out
B05;1/05/2008;257;9;All Out
B04;1/05/2008;248;7;All Out
B03;1/05/2008;294;4;All Out
B02;1/05/2008;312;9;All Out
B01;1/05/2008;154;11;All Out
L07;1/06/2008;339;7;All Out
L06;1/06/2008;155;2;All Out
L05;1/06/2008;143;18;All Out
L04;1/06/2008;169;14;All Out
L03;1/06/2008;165;18;All Out
L02;1/06/2008;403;15;All Out
L01;1/06/2008;256;10;All Out
CC02;1/06/2008;164;10;All Out
CC01;1/06/2008;325;18;All Out
CB01;1/06/2008;214;20;All Out
C14;1/06/2008;461;9;All Out
C13;1/06/2008;262;6;All Out
C12;1/06/2008;223;11;All Out
C11;1/06/2008;334;5;All Out
C10;1/06/2008;234;15;All Out
B06;1/06/2008;311;7;All Out
B05;1/06/2008;274;20;All Out
B04;1/06/2008;457;17;All Out
B03;1/06/2008;425;3;All Out
B02;1/06/2008;414;10;All Out
B01;1/06/2008;173;13;All Out
L07;1/07/2008;394;2;All Out
L06;1/07/2008;403;11;All Out
L05;1/07/2008;383;9;All Out
L04;1/07/2008;416;16;All Out
L03;1/07/2008;329;12;All Out
L02;1/07/2008;394;13;All Out
L01;1/07/2008;471;12;All Out
CC02;1/07/2008;480;6;All Out
CC01;1/07/2008;400;20;All Out
CB01;1/07/2008;290;14;All Out
C14;1/07/2008;205;9;All Out
C13;1/07/2008;385;13;All Out
C12;1/07/2008;409;20;All Out
C11;1/07/2008;343;9;All Out
C10;1/07/2008;306;7;All Out
B06;1/07/2008;279;4;All Out
B05;1/07/2008;160;20;All Out
B04;1/07/2008;140;18;All Out
B03;1/07/2008;283;3;All Out
B02;1/07/2008;157;6;All Out
B01;1/07/2008;326;19;All Out
L07;1/08/2008;158;2;All Out
L06;1/08/2008;372;15;All Out
L05;1/08/2008;112;6;All Out
L04;1/08/2008;312;10;All Out
L03;1/08/2008;183;2;All Out
