SKU;Fecha;Cantidad;Tiempo de Producción;Bodega
L07;1/01/2006;173;12;All Out
L06;1/01/2006;355;6;All Out
L05;1/01/2006;216;18;All Out
L04;1/01/2006;280;13;All Out
L03;1/01/2006;248;5;All Out
L02;1/01/2006;432;18;All Out
L01;1/01/2006;312;9;All Out
CC02;1/01/2006;475;17;All Out
CC01;1/01/2006;268;7;All Out
CB01;1/01/2006;448;13;All Out
C14;1/01/2006;312;20;All Out
C13;1/01/2006;272;15;All Out
C12;1/01/2006;309;11;All Out
C11;1/01/2006;258;10;All Out
C10;1/01/2006;312;17;All Out
B06;1/01/2006;231;13;All Out
B05;1/01/2006;380;3;All Out
B04;1/01/2006;366;8;All Out
B03;1/01/2006;326;17;All Out
B02;1/01/2006;480;17;All Out
B01;1/01/2006;107;9;All Out
L07;1/02/2006;353;12;All Out
L06;1/02/2006;411;16;All Out
L05;1/02/2006;445;20;All Out
L04;1/02/2006;364;19;All Out
L03;1/02/2006;181;2;All Out
L02;1/02/2006;351;14;All Out
L01;1/02/2006;143;20;All Out
CC02;1/02/2006;385;20;All Out
CC01;1/02/2006;392;12;All Out
CB01;1/02/2006;500;16;All Out
C14;1/02/2006;300;13;All Out
C13;1/02/2006;114;13;All Out
C12;1/02/2006;477;7;All Out
C11;1/02/2006;206;20;All Out
C10;1/02/2006;312;19;All Out
B06;1/02/2006;355;8;All Out
B05;1/02/2006;205;13;All Out
B04;1/02/2006;179;8;All Out
B03;1/02/2006;158;19;All Out
B02;1/02/2006;458;3;All Out
B01;1/02/2006;285;7;All Out
L07;1/03/2006;175;7;All Out
L06;1/03/2006;309;5;All Out
L05;1/03/2006;247;13;All Out
L04;1/03/2006;493;6;All Out
L03;1/03/2006;451;20;All Out
L02;1/03/2006;118;18;All Out
L01;1/03/2006;326;6;All Out
CC02;1/03/2006;174;19;All Out
CC01;1/03/2006;123;5;All Out
CB01;1/03/2006;339;15;All Out
C14;1/03/2006;449;17;All Out
C13;1/03/2006;324;14;All Out
C12;1/03/2006;322;4;All Out
C11;1/03/2006;238;15;All Out
C10;1/03/2006;455;15;All Out
B06;1/03/2006;471;7;All Out
B05;1/03/2006;434;6;All Out
B04;1/03/2006;372;15;All Out
B03;1/03/2006;383;8;All Out
B02;1/03/2006;270;6;All Out
B01;1/03/2006;425;9;All Out
L07;1/04/2006;253;9;All Out
L06;1/04/2006;246;12;All Out
L05;1/04/2006;481;11;All Out
L04;1/04/2006;176;6;All Out
L03;1/04/2006;335;11;All Out
L02;1/04/2006;278;16;All Out
L01;1/04/2006;389;17;All Out
CC02;1/04/2006;148;10;All Out
CC01;1/04/2006;390;13;All Out
CB01;1/04/2006;338;18;All Out
C14;1/04/2006;377;12;All Out
C13;1/04/2006;465;14;All Out
C12;1/04/2006;201;9;All Out
C11;1/04/2006;482;13;All Out
C10;1/04/2006;339;19;All Out
B06;1/04/2006;336;4;All Out
B05;1/04/2006;450;9;All Out
B04;1/04/2006;387;15;All Out
B03;1/04/2006;459;6;All Out
B02;1/04/2006;118;13;All Out
B01;1/04/2006;466;16;All Out
L07;1/05/2006;382;4;All Out
L06;1/05/2006;300;10;All Out
L05;1/05/2006;494;18;All Out
L04;1/05/2006;327;3;All Out
L03;1/05/2006;149;7;All Out
L02;1/05/2006;459;5;All Out
L01;1/05/2006;318;4;All Out
CC02;1/05/2006;121;16;All Out
CC01;1/05/2006;129;19;All Out
CB01;1/05/2006;279;18;All Out
C14;1/05/2006;205;9;All Out
C13;1/05/2006;450;3;All Out
C12;1/05/2006;231;7;All Out
C11;1/05/2006;422;20;All Out
C10;1/05/2006;302;11;All Out
B06;1/05/2006;477;19;All Out
B05;1/05/2006;327;20;All Out
B04;1/05/2006;443;13;All Out
B03;1/05/2006;322;9;All Out
B02;1/05/2006;132;3;All Out
B01;1/05/2006;141;17;All Out
L07;1/06/2006;473;13;All Out
L06;1/06/2006;491;20;All Out
L05;1/06/2006;202;2;All Out
L04;1/06/2006;228;12;All Out
L03;1/06/2006;492;9;All Out
L02;1/06/2006;110;4;All Out
L01;1/06/2006;412;20;All Out
CC02;1/06/2006;137;19;All Out
CC01;1/06/2006;454;2;All Out
CB01;1/06/2006;360;9;All Out
C14;1/06/2006;136;6;All Out
C13;1/06/2006;138;19;All Out
C12;1/06/2006;330;19;All Out
C11;1/06/2006;153;10;All Out
C10;1/06/2006;326;2;All Out
B06;1/06/2006;193;12;All Out
B05;1/06/2006;188;5;All Out
B04;1/06/2006;118;16;All Out
B03;1/06/2006;496;18;All Out
B02;1/06/2006;479;17;All Out
B01;1/06/2006;274;19;All Out
L07;1/07/2006;487;16;All Out
L06;1/07/2006;348;12;All Out
L05;1/07/2006;461;18;All Out
L04;1/07/2006;156;17;All Out
L03;1/07/2006;216;13;All Out
L02;1/07/2006;315;19;All Out
L01;1/07/2006;238;19;All Out
CC02;1/07/2006;211;8;All Out
CC01;1/07/2006;482;4;All Out
CB01;1/07/2006;108;8;All Out
C14;1/07/2006;214;7;All Out
C13;1/07/2006;470;12;All Out
C12;1/07/2006;197;4;All Out
C11;1/07/2006;125;2;All Out
C10;1/07/2006;374;11;All Out
B06;1/07/2006;252;14;All Out
B05;1/07/2006;400;8;All Out
B04;1/07/2006;184;18;All Out
B03;1/07/2006;238;11;All Out
B02;1/07/2006;466;15;All Out
B01;1/07/2006;387;15;All Out
L07;1/08/2006;378;12;All Out
L06;1/08/2006;480;19;All Out
L05;1/08/2006;210;14;All Out
L04;1/08/2006;107;16;All Out
L03;1/08/2006;140;3;All Out
L02;1/08/2006;309;9;All Out
L01;1/08/2006;339;12;All Out
CC02;1/08/2006;302;12;All Out
CC01;1/08/2006;207;12;All Out
CB01;1/08/2006;255;10;All Out
C14;1/08/2006;171;12;All Out
C13;1/08/2006;387;13;All Out
C12;1/08/2006;198;3;All Out
C11;1/08/2006;487;3;All Out
C10;1/08/2006;422;6;All Out
B06;1/08/2006;442;6;All Out
B05;1/08/2006;235;19;All Out
B04;1/08/2006;374;10;All Out
B03;1/08/2006;259;20;All Out
B02;1/08/2006;371;13;All Out
B01;1/08/2006;468;7;All Out
L07;1/09/2006;241;15;All Out
L06;1/09/2006;416;14;All Out
L05;1/09/2006;395;3;All Out
L04;1/09/2006;274;7;All Out
L03;1/09/2006;252;17;All Out
L02;1/09/2006;201;19;All Out
L01;1/09/2006;210;3;All Out
CC02;1/09/2006;258;4;All Out
CC01;1/09/2006;490;8;All Out
CB01;1/09/2006;182;8;All Out
C14;1/09/2006;211;17;All Out
C13;1/09/2006;303;20;All Out
C12;1/09/2006;379;10;All Out
C11;1/09/2006;437;7;All Out
C10;1/09/2006;172;10;All Out
B06;1/09/2006;310;5;All Out
B05;1/09/2006;489;2;All Out
B04;1/09/2006;284;16;All Out
B03;1/09/2006;210;18;All Out
B02;1/09/2006;420;20;All Out
B01;1/09/2006;369;10;All Out
L07;1/10/2006;121;17;All Out
L06;1/10/2006;316;9;All Out
L05;1/10/2006;162;14;All Out
L04;1/10/2006;253;15;All Out
L03;1/10/2006;348;2;All Out
L02;1/10/2006;433;4;All Out
L01;1/10/2006;195;12;All Out
CC02;1/10/2006;260;8;All Out
CC01;1/10/2006;127;8;All Out
CB01;1/10/2006;203;11;All Out
C14;1/10/2006;359;18;All Out
C13;1/10/2006;197;5;All Out
C12;1/10/2006;292;3;All Out
C11;1/10/2006;464;18;All Out
C10;1/10/2006;114;12;All Out
B06;1/10/2006;418;9;All Out
B05;1/10/2006;254;4;All Out
B04;1/10/2006;199;3;All Out
B03;1/10/2006;414;13;All Out
B02;1/10/2006;115;12;All Out
B01;1/10/2006;378;2;All Out
L07;1/11/2006;203;4;All Out
L06;1/11/2006;363;10;All Out
L05;1/11/2006;141;20;All Out
L04;1/11/2006;193;11;All Out
L03;1/11/2006;250;3;All Out
L02;1/11/2006;323;20;All Out
L01;1/11/2006;227;3;All Out
CC02;1/11/2006;247;19;All Out
CC01;1/11/2006;302;4;All Out
CB01;1/11/2006;270;8;All Out
C14;1/11/2006;100;4;All Out
C13;1/11/2006;156;5;All Out
C12;1/11/2006;392;11;All Out
C11;1/11/2006;155;6;All Out
C10;1/11/2006;223;18;All Out
B06;1/11/2006;428;14;All Out
B05;1/11/2006;194;17;All Out
B04;1/11/2006;196;9;All Out
B03;1/11/2006;169;7;All Out
B02;1/11/2006;336;17;All Out
B01;1/11/2006;401;14;All Out
L07;1/12/2006;467;9;All Out
L06;1/12/2006;438;18;All Out
L05;1/12/2006;318;3;All Out
