SKU;Fecha;Cantidad;Tiempo de Producción;Bodega
L07;1/01/2014;289;16;All Out
L06;1/01/2014;330;20;All Out
L05;1/01/2014;101;9;All Out
L04;1/01/2014;217;9;All Out
L03;1/01/2014;404;4;All Out
L02;1/01/2014;393;13;All Out
L01;1/01/2014;194;11;All Out
CC02;1/01/2014;198;2;All Out
CC01;1/01/2014;274;20;All Out
CB01;1/01/2014;220;11;All Out
C14;1/01/2014;405;4;All Out
C13;1/01/2014;384;3;All Out
C12;1/01/2014;239;2;All Out
C11;1/01/2014;486;20;All Out
C10;1/01/2014;189;15;All Out
B06;1/01/2014;288;4;All Out
B05;1/01/2014;178;2;All Out
B04;1/01/2014;313;19;All Out
B03;1/01/2014;131;2;All Out
B02;1/01/2014;288;11;All Out
B01;1/01/2014;129;11;All Out
L07;1/02/2014;386;6;All Out
L06;1/02/2014;292;5;All Out
L05;1/02/2014;308;3;All Out
L04;1/02/2014;195;11;All Out
L03;1/02/2014;473;14;All Out
L02;1/02/2014;173;20;All Out
L01;1/02/2014;265;9;All Out
CC02;1/02/2014;239;5;All Out
CC01;1/02/2014;388;13;All Out
CB01;1/02/2014;496;16;All Out
C14;1/02/2014;144;18;All Out
C13;1/02/2014;375;8;All Out
C12;1/02/2014;252;13;All Out
C11;1/02/2014;492;7;All Out
C10;1/02/2014;101;20;All Out
B06;1/02/2014;391;15;All Out
B05;1/02/2014;224;4;All Out
B04;1/02/2014;165;20;All Out
B03;1/02/2014;179;2;All Out
B02;1/02/2014;398;6;All Out
B01;1/02/2014;444;4;All Out
L07;1/03/2014;263;4;All Out
L06;1/03/2014;500;13;All Out
L05;1/03/2014;272;20;All Out
L04;1/03/2014;112;3;All Out
L03;1/03/2014;494;8;All Out
L02;1/03/2014;254;14;All Out
L01;1/03/2014;407;14;All Out
CC02;1/03/2014;100;16;All Out
CC01;1/03/2014;189;6;All Out
CB01;1/03/2014;285;15;All Out
C14;1/03/2014;478;2;All Out
C13;1/03/2014;369;9;All Out
C12;1/03/2014;242;15;All Out
C11;1/03/2014;203;12;All Out
C10;1/03/2014;276;11;All Out
B06;1/03/2014;142;13;All Out
B05;1/03/2014;270;14;All Out
B04;1/03/2014;460;14;All Out
B03;1/03/2014;160;12;All Out
B02;1/03/2014;110;18;All Out
B01;1/03/2014;253;3;All Out
L07;1/04/2014;455;16;All Out
L06;1/04/2014;454;5;All Out
L05;1/04/2014;374;18;All Out
L04;1/04/2014;140;7;All Out
L03;1/04/2014;253;3;All Out
L02;1/04/2014;268;3;All Out
L01;1/04/2014;200;6;All Out
CC02;1/04/2014;126;5;All Out
