product_id,Price,Quantity,CustomerNo,Country_id
22485,21.47,12,17490.0,12385
22596,10.65,36,13069.0,12385
23235,11.53,12,13069.0,12385
23272,10.65,12,13069.0,12385
23239,11.94,6,13069.0,12385
21705,10.65,24,13069.0,12385
22118,11.53,18,13069.0,12385
22119,12.25,12,13069.0,12385
22217,10.65,12,13069.0,12385
22216,10.55,24,13069.0,12385
22380,11.06,20,13069.0,12385
22442,12.25,12,13069.0,12385
22664,11.06,20,13069.0,12385
22721,12.25,12,13069.0,12385
22723,11.53,12,13069.0,12385
22785,11.53,12,13069.0,12385
22955,11.06,24,13069.0,12385
23141,11.06,12,13069.0,12385
22956,11.06,24,13069.0,12385
22581,10.55,48,13069.0,12385
23198,11.53,48,12433.0,3320
23197,11.74,24,12433.0,3320
23184,15.32,8,12433.0,3320
23168,11.53,12,12433.0,3320
23167,10.96,96,12433.0,3320
23166,11.32,48,12433.0,3320
23165,11.74,48,12433.0,3320
23004,10.68,48,12433.0,3320
23002,10.68,24,12433.0,3320
23000,10.68,24,12433.0,3320
22998,10.68,72,12433.0,3320
22994,10.68,48,12433.0,3320
22835,15.32,8,12433.0,3320
22730,14.09,4,12433.0,3320
22728,14.09,8,12433.0,3320
22727,14.09,8,12433.0,3320
22726,14.09,4,12433.0,3320
22720,14.61,16,12433.0,3320
22693,11.34,192,12433.0,3320
22670,11.53,24,12433.0,3320
22667,12.86,24,12433.0,3320
22666,12.86,24,12433.0,3320
22631,12.25,12,12433.0,3320
22628,15.32,16,12433.0,3320
22467,12.86,6,12433.0,3320
22197,10.99,100,12433.0,3320
22114,14.61,8,12433.0,3320
22112,15.32,9,12433.0,3320
21908,12.4,36,12433.0,3320
21874,11.74,36,12433.0,3320
21872,11.53,12,12433.0,3320
21871,11.74,36,12433.0,3320
21533,15.32,6,12433.0,3320
21481,14.09,12,12433.0,3320
21479,14.61,4,12433.0,3320
21248,11.74,12,12433.0,3320
21216,14.61,24,12433.0,3320
21181,12.15,48,12433.0,3320
21175,12.38,48,12433.0,3320
21169,11.74,48,12433.0,3320
21162,10.65,24,12433.0,3320
21159,10.65,24,12433.0,3320
21158,10.65,24,12433.0,3320
21154,11.53,10,12433.0,3320
16016,11.12,40,12433.0,3320
16014,10.68,60,12433.0,3320
16008,10.37,240,12433.0,3320
85152,12.15,48,12433.0,3320
84596F,10.68,32,12433.0,3320
84596B,10.68,16,12433.0,3320
84510A,11.53,20,12433.0,3320
82600,12.15,48,12433.0,3320
82581,10.81,48,12433.0,3320
72232,10.44,144,12433.0,3320
47559B,11.53,10,12433.0,3320
47504H,11.06,36,12433.0,3320
23493,12.25,30,12433.0,3320
23430,18.6,2,12433.0,3320
23429,18.6,2,12433.0,3320
23428,18.6,2,12433.0,3320
23358,11.53,18,12433.0,3320
23293,11.1,32,12433.0,3320
23243,15.32,12,12433.0,3320
23240,14.5,6,12433.0,3320
48111,17.51,10,13426.0,12385
22464,11.06,12,13426.0,12385
20982,11.12,12,13426.0,12385
20981,11.12,12,13426.0,12385
23424,15.32,8,13426.0,12385
23338,12.15,48,13426.0,12385
84970L,11.53,12,13426.0,12385
22457,13.27,6,13426.0,12385
22469,11.94,12,13426.0,12385
22909,11.12,12,13426.0,12385
84947,11.53,24,17364.0,12385
23503,11.53,12,17364.0,12385
23445,11.1,20,17364.0,12385
23530,15.32,12,17364.0,12385
84997C,14.5,4,17364.0,12385
84997D,14.5,4,17364.0,12385
84077,10.55,48,17364.0,12385
22749,14.09,4,17364.0,12385
23127,15.32,4,17364.0,12385
23126,15.32,4,17364.0,12385
22747,12.4,6,17364.0,12385
22078,12.4,10,17364.0,12385
84946,11.53,12,17364.0,12385
22791,11.53,12,17364.0,12385
21326,10.92,12,17364.0,12385
22170,17.17,8,17364.0,12385
23082,14.09,6,17364.0,12385
22909,11.12,24,17364.0,12385
22087,13.27,10,17364.0,12385
23464,15.32,4,14441.0,12385
22411,12.38,10,14441.0,12385
84029E,14.61,8,14441.0,12385
22633,12.4,12,14441.0,12385
23355,15.32,12,14441.0,12385
84029G,14.61,12,14441.0,12385
22112,15.32,6,14441.0,12385
84347,12.86,18,14441.0,12385
21115,12.25,8,17490.0,12385
22059,10.65,24,17490.0,12385
22072,11.53,24,17490.0,12385
22123,11.06,24,17490.0,12385
22476,12.25,8,17490.0,12385
22495,11.06,12,17490.0,12385
22496,11.06,12,17490.0,12385
22513,11.06,8,17490.0,12385
22500,11.53,12,17490.0,12385
22664,11.06,20,17490.0,12385
22721,12.25,12,17490.0,12385
22785,11.53,12,17490.0,12385
23178,11.53,12,17490.0,12385
23302,11.06,24,17490.0,12385
23533,12.25,6,17490.0,12385
84819,11.06,16,17490.0,12385
22371,14.3,12,17490.0,12385
21875,11.34,36,17490.0,12385
23251,11.32,96,17490.0,12385
23300,11.74,48,17490.0,12385
22138,14.61,24,17490.0,12385
23843,12.38,80995,16446.0,12385
22617,15.32,18,17389.0,12385
20749,16.76,84,17389.0,12385
22910,13.27,12,17001.0,12385
22086,13.27,12,17001.0,12385
23351,6.19,12,17001.0,12385
23352,6.19,12,17001.0,12385
22727,6.19,8,17001.0,12385
22730,6.19,4,17001.0,12385
22491,6.04,12,17001.0,12385
22561,6.04,12,17001.0,12385
22489,6.04,24,17001.0,12385
22560,6.04,24,17001.0,12385
22139,6.04,6,17001.0,12385
23344,6.19,20,17001.0,12385
23203,6.19,20,17001.0,12385
85099B,6.19,10,17001.0,12385
23201,6.19,20,17001.0,12385
23207,6.19,10,17001.0,12385
21137,6.04,120,15694.0,12385
23118,6.04,16,17428.0,12385
23111,6.04,16,17428.0,12385
22179,6.04,24,17428.0,12385
22061,7.24,48,16954.0,12385
22182,7.24,24,16954.0,12385
23571,7.24,12,12433.0,3320
23369,6.19,2,15492.0,12385
23370,6.19,2,15492.0,12385
23371,6.19,3,15492.0,12385
23372,6.19,1,15492.0,12385
23376,6.19,3,15492.0,12385
23377,6.19,6,15492.0,12385
23378,6.19,9,15492.0,12385
